X Position [ppos],Y Position [ppos],Calibration [nW/(pstr/sec)],Calibration Sigma [nW/(pstr/sec)]
683.2847932670214,595.0543086368349,0.5684397,0.0023915375004946488
860.8420269234576,590.3758803055682,0.5268051,0.0020158039983694076
949.6645660180799,589.3485108828888,0.519221,0.0020363277143389496
1125.6697817196566,588.949386415942,0.53393316,0.0021146749023002575
1043.8567570281175,589.2713701925156,0.535265,0.0020068806137013423
1417.2371360536179,586.6410852928028,0.5836034,0.0022099272069823735
1496.511075376498,587.8345683021828,0.5764451,0.0023370894147278476
1325.5138055351854,588.5195744728317,0.56511205,0.002171970543526829
1225.8924490774978,587.13735020805,0.573233,0.0022367841602215803
1766.62184032354,510.890664738749,0.6923535,0.0030272796750281704
1685.0769414334961,508.32445252762074,0.6537422,0.002700017514923288
1833.1356642839532,515.1887647053987,0.7504943,0.003250696720821609
252.33192419474048,533.1255952724291,0.66774106,0.0033186321770697167
368.06792718705344,526.400865843179,0.62246543,0.0026769734828628678
295.0294906325349,530.6646498642059,0.6597595,0.002865534062281464
621.5552025953399,512.8973273725044,0.53582305,0.0021250616364650123
711.167696941393,510.6027867834107,0.5221045,0.0020658481368910535
535.871980460744,516.548352035643,0.5820343,0.0023276946202420872
451.8607370902071,521.4249588121218,0.59940374,0.00249395441839586
891.0671428992957,505.8289299607819,0.50291944,0.0019256378993122818
795.1998455617335,509.1870904184631,0.5059642,0.002007676173997197
971.1888580063222,504.4704728746907,0.5098099,0.0019389518895072367
1076.803334970497,501.5716511444665,0.52034837,0.0020258541397491026
1259.9841539592987,500.91970114569165,0.5468138,0.0020947849306353285
1169.6583220158857,500.6142525526463,0.5284138,0.0020983653474170535
1516.7277771664778,504.0364128156191,0.56671447,0.002236607867508144
1601.463058453554,504.66803254470034,0.60353214,0.002584983163114148
1436.1424352754966,502.2449639408625,0.5455312,0.0021982261207889467
1346.730707236401,502.06823568305106,0.5808734,0.0022348284159183543
1681.54495237185,920.8335653082758,0.6841738,0.0027313519082286914
1604.3849227988792,923.4292841237706,0.6341543,0.0024801600213098015
1845.2826096601536,912.3423558900424,0.7852187,0.0034308609501327476
1763.3413220565226,915.8789416451939,0.72516406,0.0030458537822252254
1830.5108307200035,913.1432745354746,0.76190114,0.003257857134251683
241.94083922853727,919.2253841950319,0.7452387,0.0033485983383257415
283.9312352665489,932.0966711118288,0.7186122,0.0030786359858141423
243.19966160843225,932.0545304504435,0.7453628,0.003308612429421944
526.9846927891055,937.0287024332123,0.6162223,0.0024304707524315924
609.476391138417,935.9973057787873,0.5681263,0.002253025871427572
439.18662590330985,933.979148484117,0.5981073,0.0024301091952408996
363.33407023750846,932.5721082968372,0.63873005,0.0026677019173857904
